Date/Time,Posts,Cumulative
2026-01-09T17:00:00.000Z,0,0
2026-01-09T18:00:00.000Z,0,0
2026-01-09T19:00:00.000Z,4,4
2026-01-09T20:00:00.000Z,7,11
2026-01-09T21:00:00.000Z,0,11
2026-01-09T22:00:00.000Z,0,11
2026-01-09T23:00:00.000Z,4,15
2026-01-10T00:00:00.000Z,11,26
2026-01-10T01:00:00.000Z,1,27
2026-01-10T02:00:00.000Z,0,27
2026-01-10T03:00:00.000Z,0,27
2026-01-10T04:00:00.000Z,13,40
2026-01-10T05:00:00.000Z,19,59
2026-01-10T06:00:00.000Z,5,64
2026-01-10T07:00:00.000Z,0,64
2026-01-10T08:00:00.000Z,0,64
2026-01-10T09:00:00.000Z,0,64
2026-01-10T10:00:00.000Z,0,64
2026-01-10T11:00:00.000Z,0,64
2026-01-10T12:00:00.000Z,5,69
2026-01-10T13:00:00.000Z,19,88
2026-01-10T14:00:00.000Z,21,109
2026-01-10T15:00:00.000Z,0,109
2026-01-10T16:00:00.000Z,0,109
2026-01-10T17:00:00.000Z,0,109
2026-01-10T18:00:00.000Z,4,113
2026-01-10T19:00:00.000Z,0,113
2026-01-10T20:00:00.000Z,0,113
2026-01-10T21:00:00.000Z,0,113
2026-01-10T22:00:00.000Z,1,114
2026-01-10T23:00:00.000Z,11,125
2026-01-11T00:00:00.000Z,0,125
2026-01-11T01:00:00.000Z,4,129
2026-01-11T02:00:00.000Z,0,129
2026-01-11T03:00:00.000Z,0,129
2026-01-11T04:00:00.000Z,3,132
2026-01-11T05:00:00.000Z,7,139
2026-01-11T06:00:00.000Z,0,139
2026-01-11T07:00:00.000Z,6,145
2026-01-11T08:00:00.000Z,10,155
2026-01-11T09:00:00.000Z,9,164
2026-01-11T10:00:00.000Z,12,176
2026-01-11T11:00:00.000Z,0,176
2026-01-11T12:00:00.000Z,1,177
2026-01-11T13:00:00.000Z,0,177
2026-01-11T14:00:00.000Z,0,177
2026-01-11T15:00:00.000Z,0,177
2026-01-11T16:00:00.000Z,7,184
2026-01-11T17:00:00.000Z,4,188
2026-01-11T18:00:00.000Z,2,190
2026-01-11T19:00:00.000Z,10,200
