Date/Time,Posts,Cumulative
2025-12-23T17:00:00.000Z,5,5
2025-12-23T18:00:00.000Z,1,6
2025-12-23T19:00:00.000Z,2,8
2025-12-23T20:00:00.000Z,1,9
2025-12-23T21:00:00.000Z,3,12
2025-12-23T22:00:00.000Z,0,12
2025-12-23T23:00:00.000Z,0,12
2025-12-24T00:00:00.000Z,0,12
2025-12-24T01:00:00.000Z,0,12
2025-12-24T02:00:00.000Z,0,12
2025-12-24T03:00:00.000Z,0,12
2025-12-24T04:00:00.000Z,0,12
2025-12-24T05:00:00.000Z,0,12
2025-12-24T06:00:00.000Z,5,17
2025-12-24T07:00:00.000Z,14,31
2025-12-24T08:00:00.000Z,7,38
2025-12-24T09:00:00.000Z,0,38
2025-12-24T10:00:00.000Z,0,38
2025-12-24T11:00:00.000Z,0,38
2025-12-24T12:00:00.000Z,0,38
2025-12-24T13:00:00.000Z,0,38
2025-12-24T14:00:00.000Z,0,38
2025-12-24T15:00:00.000Z,0,38
2025-12-24T16:00:00.000Z,13,51
2025-12-24T17:00:00.000Z,0,51
2025-12-24T18:00:00.000Z,11,62
2025-12-24T19:00:00.000Z,6,68
2025-12-24T20:00:00.000Z,11,79
2025-12-24T21:00:00.000Z,4,83
2025-12-24T22:00:00.000Z,0,83
2025-12-24T23:00:00.000Z,0,83
2025-12-25T00:00:00.000Z,12,95
2025-12-25T01:00:00.000Z,4,99
2025-12-25T02:00:00.000Z,3,102
2025-12-25T03:00:00.000Z,1,103
2025-12-25T04:00:00.000Z,0,103
2025-12-25T05:00:00.000Z,4,107
2025-12-25T06:00:00.000Z,0,107
2025-12-25T07:00:00.000Z,0,107
2025-12-25T08:00:00.000Z,0,107
2025-12-25T09:00:00.000Z,0,107
2025-12-25T10:00:00.000Z,0,107
2025-12-25T11:00:00.000Z,0,107
2025-12-25T12:00:00.000Z,0,107
2025-12-25T13:00:00.000Z,0,107
2025-12-25T14:00:00.000Z,0,107
2025-12-25T15:00:00.000Z,0,107
2025-12-25T16:00:00.000Z,0,107
2025-12-25T17:00:00.000Z,4,111
2025-12-25T18:00:00.000Z,4,115
2025-12-25T19:00:00.000Z,0,115
2025-12-25T20:00:00.000Z,0,115
2025-12-25T21:00:00.000Z,2,117
2025-12-25T22:00:00.000Z,0,117
2025-12-25T23:00:00.000Z,1,118
2025-12-26T00:00:00.000Z,1,119
2025-12-26T01:00:00.000Z,2,121
2025-12-26T02:00:00.000Z,0,121
2025-12-26T03:00:00.000Z,0,121
2025-12-26T04:00:00.000Z,5,126
2025-12-26T05:00:00.000Z,10,136
2025-12-26T06:00:00.000Z,0,136
2025-12-26T07:00:00.000Z,12,148
2025-12-26T08:00:00.000Z,0,148
2025-12-26T09:00:00.000Z,0,148
2025-12-26T10:00:00.000Z,0,148
2025-12-26T11:00:00.000Z,0,148
2025-12-26T12:00:00.000Z,0,148
2025-12-26T13:00:00.000Z,0,148
2025-12-26T14:00:00.000Z,0,148
2025-12-26T15:00:00.000Z,13,161
2025-12-26T16:00:00.000Z,3,164
2025-12-26T17:00:00.000Z,0,164
2025-12-26T18:00:00.000Z,5,169
2025-12-26T19:00:00.000Z,0,169
2025-12-26T20:00:00.000Z,0,169
2025-12-26T21:00:00.000Z,0,169
2025-12-26T22:00:00.000Z,2,171
2025-12-26T23:00:00.000Z,0,171
2025-12-27T00:00:00.000Z,0,171
2025-12-27T01:00:00.000Z,1,172
2025-12-27T02:00:00.000Z,2,174
2025-12-27T03:00:00.000Z,9,183
2025-12-27T04:00:00.000Z,3,186
2025-12-27T05:00:00.000Z,0,186
2025-12-27T06:00:00.000Z,2,188
2025-12-27T07:00:00.000Z,3,191
2025-12-27T08:00:00.000Z,0,191
2025-12-27T09:00:00.000Z,0,191
2025-12-27T10:00:00.000Z,0,191
2025-12-27T11:00:00.000Z,4,195
2025-12-27T12:00:00.000Z,4,199
2025-12-27T13:00:00.000Z,4,203
2025-12-27T14:00:00.000Z,0,203
2025-12-27T15:00:00.000Z,0,203
2025-12-27T16:00:00.000Z,7,210
2025-12-27T17:00:00.000Z,9,219
2025-12-27T18:00:00.000Z,2,221
2025-12-27T19:00:00.000Z,0,221
2025-12-27T20:00:00.000Z,1,222
2025-12-27T21:00:00.000Z,0,222
2025-12-27T22:00:00.000Z,0,222
2025-12-27T23:00:00.000Z,0,222
2025-12-28T00:00:00.000Z,5,227
2025-12-28T01:00:00.000Z,2,229
2025-12-28T02:00:00.000Z,0,229
2025-12-28T03:00:00.000Z,0,229
2025-12-28T04:00:00.000Z,0,229
2025-12-28T05:00:00.000Z,0,229
2025-12-28T06:00:00.000Z,2,231
2025-12-28T07:00:00.000Z,5,236
2025-12-28T08:00:00.000Z,13,249
2025-12-28T09:00:00.000Z,0,249
2025-12-28T10:00:00.000Z,0,249
2025-12-28T11:00:00.000Z,0,249
2025-12-28T12:00:00.000Z,0,249
2025-12-28T13:00:00.000Z,0,249
2025-12-28T14:00:00.000Z,7,256
2025-12-28T15:00:00.000Z,0,256
2025-12-28T16:00:00.000Z,0,256
2025-12-28T17:00:00.000Z,7,263
