Date/Time,Posts,Cumulative
2025-12-26T17:00:00.000Z,0,0
2025-12-26T18:00:00.000Z,5,5
2025-12-26T19:00:00.000Z,0,5
2025-12-26T20:00:00.000Z,0,5
2025-12-26T21:00:00.000Z,0,5
2025-12-26T22:00:00.000Z,2,7
2025-12-26T23:00:00.000Z,0,7
2025-12-27T00:00:00.000Z,0,7
2025-12-27T01:00:00.000Z,1,8
2025-12-27T02:00:00.000Z,2,10
2025-12-27T03:00:00.000Z,9,19
2025-12-27T04:00:00.000Z,3,22
2025-12-27T05:00:00.000Z,0,22
2025-12-27T06:00:00.000Z,2,24
2025-12-27T07:00:00.000Z,3,27
2025-12-27T08:00:00.000Z,0,27
2025-12-27T09:00:00.000Z,0,27
2025-12-27T10:00:00.000Z,0,27
2025-12-27T11:00:00.000Z,4,31
2025-12-27T12:00:00.000Z,4,35
2025-12-27T13:00:00.000Z,4,39
2025-12-27T14:00:00.000Z,0,39
2025-12-27T15:00:00.000Z,0,39
2025-12-27T16:00:00.000Z,7,46
2025-12-27T17:00:00.000Z,9,55
2025-12-27T18:00:00.000Z,2,57
2025-12-27T19:00:00.000Z,0,57
2025-12-27T20:00:00.000Z,1,58
2025-12-27T21:00:00.000Z,0,58
2025-12-27T22:00:00.000Z,0,58
2025-12-27T23:00:00.000Z,0,58
2025-12-28T00:00:00.000Z,5,63
2025-12-28T01:00:00.000Z,2,65
2025-12-28T02:00:00.000Z,0,65
2025-12-28T03:00:00.000Z,0,65
2025-12-28T04:00:00.000Z,0,65
2025-12-28T05:00:00.000Z,0,65
2025-12-28T06:00:00.000Z,2,67
2025-12-28T07:00:00.000Z,5,72
2025-12-28T08:00:00.000Z,13,85
2025-12-28T09:00:00.000Z,0,85
2025-12-28T10:00:00.000Z,0,85
2025-12-28T11:00:00.000Z,0,85
2025-12-28T12:00:00.000Z,0,85
2025-12-28T13:00:00.000Z,0,85
2025-12-28T14:00:00.000Z,7,92
2025-12-28T15:00:00.000Z,0,92
2025-12-28T16:00:00.000Z,0,92
2025-12-28T17:00:00.000Z,7,99
2025-12-28T18:00:00.000Z,6,105
2025-12-28T19:00:00.000Z,3,108
2025-12-28T20:00:00.000Z,1,109
2025-12-28T21:00:00.000Z,0,109
2025-12-28T22:00:00.000Z,3,112
2025-12-28T23:00:00.000Z,0,112
2025-12-29T00:00:00.000Z,0,112
2025-12-29T01:00:00.000Z,4,116
2025-12-29T02:00:00.000Z,1,117
2025-12-29T03:00:00.000Z,0,117
2025-12-29T04:00:00.000Z,2,119
2025-12-29T05:00:00.000Z,0,119
2025-12-29T06:00:00.000Z,5,124
2025-12-29T07:00:00.000Z,20,144
2025-12-29T08:00:00.000Z,9,153
2025-12-29T09:00:00.000Z,0,153
2025-12-29T10:00:00.000Z,0,153
2025-12-29T11:00:00.000Z,0,153
2025-12-29T12:00:00.000Z,0,153
2025-12-29T13:00:00.000Z,9,162
2025-12-29T14:00:00.000Z,14,176
2025-12-29T15:00:00.000Z,10,186
2025-12-29T16:00:00.000Z,0,186
2025-12-29T17:00:00.000Z,5,191
2025-12-29T18:00:00.000Z,7,198
2025-12-29T19:00:00.000Z,3,201
2025-12-29T20:00:00.000Z,2,203
2025-12-29T21:00:00.000Z,1,204
2025-12-29T22:00:00.000Z,0,204
2025-12-29T23:00:00.000Z,0,204
2025-12-30T00:00:00.000Z,0,204
2025-12-30T01:00:00.000Z,0,204
2025-12-30T02:00:00.000Z,1,205
2025-12-30T03:00:00.000Z,0,205
2025-12-30T04:00:00.000Z,1,206
2025-12-30T05:00:00.000Z,14,220
2025-12-30T06:00:00.000Z,0,220
2025-12-30T07:00:00.000Z,0,220
2025-12-30T08:00:00.000Z,0,220
2025-12-30T09:00:00.000Z,0,220
2025-12-30T10:00:00.000Z,0,220
2025-12-30T11:00:00.000Z,0,220
2025-12-30T12:00:00.000Z,0,220
2025-12-30T13:00:00.000Z,0,220
2025-12-30T14:00:00.000Z,10,230
2025-12-30T15:00:00.000Z,26,256
2025-12-30T16:00:00.000Z,3,259
2025-12-30T17:00:00.000Z,7,266
2025-12-30T18:00:00.000Z,11,277
2025-12-30T19:00:00.000Z,3,280
2025-12-30T20:00:00.000Z,9,289
2025-12-30T21:00:00.000Z,4,293
2025-12-30T22:00:00.000Z,0,293
2025-12-30T23:00:00.000Z,13,306
2025-12-31T00:00:00.000Z,1,307
2025-12-31T01:00:00.000Z,4,311
2025-12-31T02:00:00.000Z,0,311
2025-12-31T03:00:00.000Z,0,311
2025-12-31T04:00:00.000Z,0,311
2025-12-31T05:00:00.000Z,0,311
2025-12-31T06:00:00.000Z,13,324
2025-12-31T07:00:00.000Z,1,325
2025-12-31T08:00:00.000Z,5,330
2025-12-31T09:00:00.000Z,9,339
2025-12-31T10:00:00.000Z,0,339
2025-12-31T11:00:00.000Z,0,339
2025-12-31T12:00:00.000Z,0,339
2025-12-31T13:00:00.000Z,0,339
2025-12-31T14:00:00.000Z,0,339
2025-12-31T15:00:00.000Z,0,339
2025-12-31T16:00:00.000Z,16,355
2025-12-31T17:00:00.000Z,3,358
2025-12-31T18:00:00.000Z,0,358
2025-12-31T19:00:00.000Z,0,358
2025-12-31T20:00:00.000Z,0,358
2025-12-31T21:00:00.000Z,3,361
2025-12-31T22:00:00.000Z,20,381
2025-12-31T23:00:00.000Z,14,395
2026-01-01T00:00:00.000Z,7,402
2026-01-01T01:00:00.000Z,3,405
2026-01-01T02:00:00.000Z,5,410
2026-01-01T03:00:00.000Z,0,410
2026-01-01T04:00:00.000Z,0,410
2026-01-01T05:00:00.000Z,2,412
2026-01-01T06:00:00.000Z,0,412
2026-01-01T07:00:00.000Z,0,412
2026-01-01T08:00:00.000Z,1,413
2026-01-01T09:00:00.000Z,0,413
2026-01-01T10:00:00.000Z,0,413
2026-01-01T11:00:00.000Z,0,413
2026-01-01T12:00:00.000Z,0,413
2026-01-01T13:00:00.000Z,0,413
2026-01-01T14:00:00.000Z,0,413
2026-01-01T15:00:00.000Z,0,413
2026-01-01T16:00:00.000Z,0,413
2026-01-01T17:00:00.000Z,0,413
2026-01-01T18:00:00.000Z,0,413
2026-01-01T19:00:00.000Z,5,418
2026-01-01T20:00:00.000Z,9,427
2026-01-01T21:00:00.000Z,10,437
2026-01-01T22:00:00.000Z,0,437
2026-01-01T23:00:00.000Z,12,449
2026-01-02T00:00:00.000Z,0,449
2026-01-02T01:00:00.000Z,0,449
2026-01-02T02:00:00.000Z,0,449
2026-01-02T03:00:00.000Z,0,449
2026-01-02T04:00:00.000Z,0,449
2026-01-02T05:00:00.000Z,20,469
2026-01-02T06:00:00.000Z,0,469
2026-01-02T07:00:00.000Z,0,469
2026-01-02T08:00:00.000Z,0,469
2026-01-02T09:00:00.000Z,0,469
2026-01-02T10:00:00.000Z,0,469
2026-01-02T11:00:00.000Z,0,469
2026-01-02T12:00:00.000Z,0,469
2026-01-02T13:00:00.000Z,10,479
2026-01-02T14:00:00.000Z,0,479
2026-01-02T15:00:00.000Z,0,479
2026-01-02T16:00:00.000Z,23,502
2026-01-02T17:00:00.000Z,0,502
