Date/Time,Posts,Cumulative
2026-01-23T17:00:00.000Z,6,6
2026-01-23T18:00:00.000Z,3,9
2026-01-23T19:00:00.000Z,2,11
2026-01-23T20:00:00.000Z,1,12
2026-01-23T21:00:00.000Z,0,12
2026-01-23T22:00:00.000Z,1,13
2026-01-23T23:00:00.000Z,0,13
2026-01-24T00:00:00.000Z,3,16
2026-01-24T01:00:00.000Z,0,16
2026-01-24T02:00:00.000Z,3,19
2026-01-24T03:00:00.000Z,0,19
2026-01-24T04:00:00.000Z,2,21
2026-01-24T05:00:00.000Z,0,21
2026-01-24T06:00:00.000Z,7,28
2026-01-24T07:00:00.000Z,5,33
2026-01-24T08:00:00.000Z,0,33
2026-01-24T09:00:00.000Z,0,33
2026-01-24T10:00:00.000Z,0,33
2026-01-24T11:00:00.000Z,0,33
2026-01-24T12:00:00.000Z,0,33
2026-01-24T13:00:00.000Z,6,39
2026-01-24T14:00:00.000Z,7,46
2026-01-24T15:00:00.000Z,0,46
2026-01-24T16:00:00.000Z,0,46
2026-01-24T17:00:00.000Z,1,47
2026-01-24T18:00:00.000Z,3,50
2026-01-24T19:00:00.000Z,0,50
2026-01-24T20:00:00.000Z,1,51
2026-01-24T21:00:00.000Z,0,51
2026-01-24T22:00:00.000Z,0,51
2026-01-24T23:00:00.000Z,6,57
2026-01-25T00:00:00.000Z,1,58
2026-01-25T01:00:00.000Z,2,60
2026-01-25T02:00:00.000Z,5,65
2026-01-25T03:00:00.000Z,0,65
2026-01-25T04:00:00.000Z,3,68
2026-01-25T05:00:00.000Z,13,81
2026-01-25T06:00:00.000Z,4,85
2026-01-25T07:00:00.000Z,0,85
2026-01-25T08:00:00.000Z,0,85
2026-01-25T09:00:00.000Z,0,85
2026-01-25T10:00:00.000Z,0,85
2026-01-25T11:00:00.000Z,2,87
2026-01-25T12:00:00.000Z,8,95
2026-01-25T13:00:00.000Z,1,96
2026-01-25T14:00:00.000Z,0,96
2026-01-25T15:00:00.000Z,0,96
2026-01-25T16:00:00.000Z,5,101
2026-01-25T17:00:00.000Z,4,105
2026-01-25T18:00:00.000Z,2,107
2026-01-25T19:00:00.000Z,6,113
2026-01-25T20:00:00.000Z,3,116
2026-01-25T21:00:00.000Z,0,116
2026-01-25T22:00:00.000Z,0,116
2026-01-25T23:00:00.000Z,1,117
2026-01-26T00:00:00.000Z,1,118
2026-01-26T01:00:00.000Z,4,122
2026-01-26T02:00:00.000Z,1,123
2026-01-26T03:00:00.000Z,1,124
2026-01-26T04:00:00.000Z,2,126
2026-01-26T05:00:00.000Z,9,135
2026-01-26T06:00:00.000Z,2,137
2026-01-26T07:00:00.000Z,1,138
2026-01-26T08:00:00.000Z,0,138
2026-01-26T09:00:00.000Z,0,138
2026-01-26T10:00:00.000Z,0,138
2026-01-26T11:00:00.000Z,0,138
2026-01-26T12:00:00.000Z,0,138
2026-01-26T13:00:00.000Z,0,138
2026-01-26T14:00:00.000Z,15,153
2026-01-26T15:00:00.000Z,5,158
2026-01-26T16:00:00.000Z,8,166
2026-01-26T17:00:00.000Z,0,166
2026-01-26T18:00:00.000Z,0,166
2026-01-26T19:00:00.000Z,0,166
2026-01-26T20:00:00.000Z,0,166
2026-01-26T21:00:00.000Z,0,166
2026-01-26T22:00:00.000Z,1,167
2026-01-26T23:00:00.000Z,0,167
2026-01-27T00:00:00.000Z,0,167
2026-01-27T01:00:00.000Z,2,169
2026-01-27T02:00:00.000Z,0,169
2026-01-27T03:00:00.000Z,0,169
2026-01-27T04:00:00.000Z,0,169
2026-01-27T05:00:00.000Z,0,169
2026-01-27T06:00:00.000Z,1,170
2026-01-27T07:00:00.000Z,0,170
2026-01-27T08:00:00.000Z,0,170
2026-01-27T09:00:00.000Z,0,170
2026-01-27T10:00:00.000Z,0,170
2026-01-27T11:00:00.000Z,0,170
2026-01-27T12:00:00.000Z,12,182
